Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
l1_tm_to_ps	18	67	-	84	2008-06-11 16:30:32	2009-03-29 08:14:27	2	3	290	6	6	6	1	0	0	0	0		20	0	20
l1_tm_to_ti	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	7	6	6.28	0.86	5	5	0.06	0.06	1	20	1	21
l1_tm_to_tt	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	11	11	11.09	1	13	7	0.15	0.08	1.86	20	2	22
l1_tm_to_tt_forced	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	6	6.01	1	4	4	0.05	0.05	1	20	1	21
l1_tm_to_tt_mon	45	40	-	84	2007-10-07 12:56:49	2009-03-29 08:14:27	2	3	538	11	11	11	1	4	2	0.09	0.04	2	20	1	21
l1_trigger_item	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	9	12	11.07	1.33	9	9	0.11	0.11	1	20	2	22
l1_trigger_menu	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	11	10	10.4	0.91	9	6	0.11	0.07	1.5	20	2	22
l1_trigger_threshold	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	8	10	9.59	1.25	8	6	0.09	0.07	1.33	20	1	21
l1_trigger_threshold_value	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	17	17	17.01	1	20	10	0.24	0.12	2	20	2	22
l1_trigger_type	57	0	56	56	2006-07-31 15:14:12	2008-04-09 09:15:38	0	2	617	14	14	14.02	1	6	5	0.11	0.09	1.2	10	2	12
l1_tt_to_ttv	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	6	6	6.01	1	4	4	0.05	0.05	1	20	1	21
super_master_table	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	8	12	9.42	1.5	10	9	0.12	0.11	1.11	20	2	22
trigger_alias	57	28	-	84	2007-05-18 13:31:29	2009-03-29 08:14:27	1	3	680	8	7	7.02	0.88	8	6	0.14	0.11	1.33	20	2	22
trigger_log	34	51	-	84	2008-04-02 16:14:38	2009-03-29 08:14:27	2	3	360	3	4	3.68	1.33	5	3	0.15	0.09	1.67	20	1	21
trigger_next_run	85	0	-	84	2006-07-31 15:14:12	2009-03-29 08:14:27	0	3	971	5	5	5.01	1	4	4	0.05	0.05	1	20	1	21
trigger_schema	43	42	-	84	2007-10-16 14:21:55	2009-03-29 08:14:27	2	3	529	3	3	3	1	2	1	0.05	0.02	2	20	1	21
tt_users	28	57	-	84	2008-04-09 13:09:11	2009-03-29 08:14:27	2	3	353	3	3	3	1	0	0	0	0		20	0	20
